Title,Territory,Type,Year,Category,To,From,Content,Link to Content
"MO :: Section 8, Chapter 3 (Research Protections and Data Requests), Subsection 1 – Research Protections and Request for Release of Data :: 3.1.2 Application Approval/Denial",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Reporting requirements",,,"The Division Director (or designee) will approve (or reject) the research proposal based on the recommendations of the committee members and will forward any approved proposal involving the use of PHI to the Divisional Privacy Officer for further review. The Division Privacy Officer will review the request to determine whether the matter of client PHI disclosure is adequately addressed in the proposal. The Divisional Privacy Officer will relate a position to the Division Director (or designee) whether the matter of PHI release is satisfactorily addressed and may submit the proposal to the Department Privacy Review Board if the proposal requires consideration of an ‘authorization to disclose’ waiver. The DSS Privacy Review Board is comprised of the DSS Privacy Officer, divisional privacy officers under the covered entity (DSS), and one qualified individual appointed by the DSS Director. The DSS Privacy Officer is the chairman of the DSS Privacy Review Board. The Department Privacy Review Board will review the request and determine whether a waiver of the required authorization will be granted. The Divisional Privacy Officer will, in turn, notify the Division Director (or designee) as to whether the Division may proceed (and under what considerations if applicable) where PHI release is an issue. Waiver by the Board of the individual authorization required by Health Insurance Portability and Accountability Act (HIPAA) will be done in compliance with the provisions in 45 CFR 164.512(i). The committee will inform the requestor, in writing, of the decision. This may include contingencies (such as Regional Director approval if needed, reasons for rejection, and/or request for additional information). The requestor is required to allow the Children’s Division Director (or designee) to review the research findings before publication. Failure to share findings in past research projects will be a consideration in the approval of future studies. The requestor is required to send the Children’s Division a copy of final product. The Division Director shall designate a person in Central Office to monitor research activities for adherence to the agreed upon implementation terms in accordance with standards set forth by the Division Director (or designee). The person/s chosen to monitor such approved research requests shall keep a record of all research activities. At least annually, the person/s chosen to monitor approved requests will conduct a review of research involving program participants to assess areas of overall risk to the Children’s Division (in accordance with COA standard RPM 2.01).",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-3-research-protections-and-data-requests-subsection-1-research-2
"MO :: Section 8, Chapter 3 (Research Protections and Data Requests), Subsection 1 – Research Protections and Request for Release of Data :: Intro",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Legal process, Reporting requirements",,,"The Department of Social Services’ (DSS) Children’s Division (CD) permits research and release of data involving persons served in accordance with RSMo. Section 210.150.2 and 3. In doing so, however, the Division exhibits due regard for the study subjects’ participation rights with emphasis in areas of privacy and confidentiality.  All research and release of data involving persons served is conducted in accordance with applicable legal requirements.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-3-research-protections-and-data-requests-subsection-1-research-0
"MO :: Section 8, Chapter 2 (Personnel), Subsection 2 – Transportation of Children :: 2.2   Transportation of Children",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Contracting with private organizations, Services while in care - Medical",,,"The Children’s Division has basic requirements for employee’s and contracted individuals who are or may be responsible for the transportation of children in CD’s custody. These basic requirements are as follows: A passenger (child) in the CD’s custody will have medical insurance supplied by the Division in case of an accident; An employee or contracted individual of the Division shall supply proof of automobile liability insurance upon request by line of supervision; An employee or contracted individual shall provide annual validation of licenses and driving record upon request by the division; The Division will confirm appropriate license type. An employee or contracted individual shall provide upon request by the Division, current vehicle maintenance or inspection verification. An employee shall read the liability segment in the Risk Management Section of the Office of Administration policy about the extent and limits of liability coverage. To review this section, go to http://www.oa.mo.gov/gs/risk/index.htm and click on liability. Age appropriate passenger restraints shall be used by all passengers; WEIGHT Birth to 1 year & less than 20 lbs Less than 1 year & 20 to 35 lbs. 1 to 4 years & at least 20 to 40 lbs. Over 40 lbs. 4 to 8 years, unless they are 4’9” tall TYPE OF SEAT Infant-only or rear-facing Convertible Rear-facing Convertible Convertible or Forward-Facing Only or High Back Booster/Harness Belt-Positioning Booster (no back, base only) or High Back Belt-Positioning Booster SEAT POSITION Rear-facing only Rear-facing only Forward-facing Forward-facing USAGE TIPS ·    Never use in front seat where an air bag is present. ·    Tightly install child seat in rear seat, facing the rear. ·    Child seat should recline at approximately a 45 degree angle. ·    Infant’s head should not extend beyond the top of the seat’s backrest. ·    Harness straps/slots at or below shoulder level. ·    Harness straps fit snug on the child, leaving no more than one finger’s width between the child and harness; harness clip at armpit level. ·    Never use in a front seat where an air bag is present. ·    Tightly install child seat in rear seat, facing forward. ·    Harness straps should be at or above shoulders. ·    Harness straps fit snug on child, leaving no more than one finger’s width between the child and harness; harness clip at armpit level. ·    Booster base used with adult lap and shoulder belt in rear seat. ·    Shoulder belt should rest snugly across chest, rests on shoulder; and should NEVER be placed under the arm or behind the back. ·    Lap-belt should rest low, across the lap/upper thigh area – not across the stomach.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-2-personnel-subsection-2-transportation-children-22-transportation
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: 1.1.6   Steps in the Formal Grievance Process",Missouri,Rules,"2022, 2021, 2020, 2019",Administrative process,,,"The formal grievance protocol is to be utilized after all other efforts to resolve the issue or complaint have been exhausted. Other efforts include solution-focused discussions with the worker, the supervisor, and other Family Support Team members. Staff from the county office shall ensure the grievant is fully informed of their right to grieve and when appropriate assure the grievant has a Service Delivery Grievance Form (CS-131) . Level One – Actions taken at this level include the grievant, worker, supervisor, Family Support Team (if needed) and the Circuit Manager or Regional Designee. The goal is to resolve the complaint/grievance at the local county level: The grievant shall initiate the grievance process by submitting a completed Service Delivery Grievance Form, CS-131, to the county office. The grievant shall complete Section A of the grievance form detailing a description of the grievance, and all efforts made by the grievant to resolve the issue with the worker, the worker’s immediate supervisor, and the Family Support Team. The Children’s Service Worker shall help the grievant complete the form if requested. Staff will immediately enter the details of the grievance, as documented by the client, into the Service Delivery Grievance Database upon receiving the completed form. Service Delivery Grievance Database will generate an email notification of the grievance to the Circuit Manager or regional designee. (This however, should not take the place of other communication through supervisory channels regarding the Service Delivery Grievance) Upon receiving the completed Service Delivery Grievance Form , the Circuit Manager or regional designee shall access the Service Delivery Grievance Database and screen the grievance according to policy. Within 15 working days, the Circuit Manager or designee shall by phone or in person, review and discuss in detail the complaint with the grievant, the worker, and the supervisor; and work with all parties to resolve the disagreement or complaint. The Circuit Manager or designee shall prepare and provide the grievant, the worker, and the supervisor with a written response to the grievance by completing Section B of the Service Delivery Grievance Form, indicating actions taken at Level One to resolve the issue. The Circuit Manager or designee shall update the Grievance Delivery Database; and upload the updated CS-131 into the system. The Circuit Manager or designee shall provide the updated copy of the form to the grievant, worker, and supervisor. A copy of the updated grievance form with Level One response shall be placed in the Administrative section of the family record. Level Two – Actions taken during this step include the grievant and the Regional Director or his/her designee: If the grievant does not agree with the response from Level One, he/she may continue the grievance process by returning the grievance form to the Regional Director’s office within 15 working days from the date the written response was received. Within 15 working days of receiving the grievance form, the Regional Director or his/her designee shall review all pertinent information obtained at Level One such as worker involvement and contacts with all necessary individuals. The Regional Director or his/her designee shall contact grievant, by telephone or in person, to listen to and discuss grievance in detail and work together with grievant to resolve the disagreement or complaint. The Regional Director or his/her designee shall prepare and provide the grievant and the Circuit Manager or Regional Designee a written response by completing Section C of the grievance form, indicating actions taken at Level Two to resolve the issue. The Regional Director or his/her designee shall update the Service Delivery Grievance Database, upload the completed grievance form into the system, and provide the updated copy of the form to the grievant and to the Circuit Manager or Regional Designee. A copy of the updated Service Delivery Grievance Form with the Level Two response shall be placed in the Administrative section of the family record. Level Three – This is the final step in the grievance process and involves the grievant and the Children’s Division Director or his/her designee: If the grievant does not agree with the response from Level Two, they may continue the grievance process by submitting the grievance form received from Level Two to the Division Director’s office within 15 working days , by mail or in person, from the date the written response is received from Level Two. Within 15 days of receiving the grievance form, the Children’s Division Director or his/her designee shall review all information pertaining to the grievance at the first two levels such as worker involvement and contacts with other necessary individuals including grievant. The Children’s Division Director or his/her designee shall contact grievant, by telephone or in person, to listen and discuss the grievance in detail. The Children’s Division Director or his/her designee shall complete Section D of the grievance form. The Children’s Division Director or his/her designee shall prepare and mail the grievant a copy of the Service Delivery Grievance Form with the final written response in Section D and forward a copy of the final grievance form to the Regional Director or his/her designee. The Regional Director or his/her designee shall ensure that the final Service Delivery Grievance Form is placed into the Administrative section of the family record. A copy of the final grievance form from Level Three shall be maintained in the office of the Division Director. The Division Director or his/her designee shall enter information regarding Level Three determination from the Service Delivery Grievance Form into the Service Delivery Grievance Database, and upload a copy of the completed form into the system. Confidentiality and Access to Records The documentation that is generated from this process shall be maintained in the family case record, filed in the Administrative Section. Agency personnel will follow the same confidentiality guidelines for information gathered during the grievance process as any other information gathered during Service Delivery. Data for the Continuous Quality Improvement Process The need to track outcomes and the means by which they were achieved is an important part of the quality improvement process. Staff are required to document the grievance in the narrative section of the record and file the Service Delivery Grievance Form in the Administrative Section of the case file. The information received from Level One through Level Three of the grievance process is collected in the Service Delivery Grievance Database and may be aggregated for use in the CQI process. Circuit Managers or Regional Designees, Regional Directors or his/her designee, and the Division Director or his/her designee are responsible for making sure that all Service Delivery Grievance Form information is entered into the Service Delivery Grievance Database at each of their perspective levels in a timely manner.  Reports generated from the Service Delivery Grievance Database are available for discussion during CQI group meetings or may be accessed for the purposes of identifying grievance trends or gaps in service delivery, locally, or statewide. The ultimate goal is to use the information gained from the process to continually build upon our quality service delivery system. Each team that reviews the reports should look for trends related to the quality of services being delivered, program issues, communication, etc. that led to the grievances.  If trends are identified, it is expected that an action plan is developed to remedy the identified area of concern.  Steps that are taken to rectify any of the identified issues should be reported to the next level CQI team and followed-up at the next quarter local team meeting to monitor progress.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-5
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: 1.1.5   Agency Don’ts",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Expectations for care, Reporting requirements, Services while in care - Other",,,Don’t prevent the grievant from pursuing his/her right to file a grievance or complaint. Don’t retaliate against any person who participates in or initiates the grievance process. Don’t allow the process to become adversarial or accusatory.,https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-2
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: 1.1.4   Agency Do’s",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Reporting requirements, Services while in care - Educational, Services while in care - Financial, Services while in care - Other",,,"Do inform youth, families, and resource providers of their rights and grievance procedures. Do assist the grievant through the process, if requested. Do remain solution focused and work to resolve the complaint. Do document the grievance in the narrative section of the record and file the Service Delivery Grievance Form in the Administrative Section of the case file. Do inform grievant of outcome and actions.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-1
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: 1.1.3   What is Not Grievable Through this Process",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Adoption, Court system, Foster parent licensing, Guardianship, Investigations, Legal process, Subsidies - Foster Parents",,,"Any complaint of discrimination based upon race, color, national origin, age, sex, disability, religious or political beliefs. All complaints of this nature must follow Policy 2-104 found in the Department of Social Services Administrative Manual. Any complaint involving criminal activities of employees. The Regional Director, or his/her designee, shall refer these complaints immediately to the Division Director’s Office for review and any necessary action. Any dispute with the outcome of a Child Abuse/Neglect investigation. These complaints shall proceed through the established CA/N Review process. Any court ruling or current statute. Guardian ad Litem (GAL), Court Appointed Special Advocate (CASA), or judge appointments. Complaints about these appointments must be addressed through the court of jurisdiction. Any foster/adoptive licensing revocations or denials. These complaints shall be dealt with according to the Fair Hearing Process. Any complaint by a resource provider about a case management decision regarding a child in their care. These complaints shall proceed according to Alternative Care Review Board (ACRB). Those persons receiving adoption subsidy or guardianship subsidy are not eligible to use this grievance procedure. Subsidy grievances shall proceed according to the Children’s Services Fair Hearing Process.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-4
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: 1.1.2   What Constitutes a Grievance",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Administrative process, Expectations for care, Reporting requirements, Services while in care - Other",,,"A grievance is a complaint based upon an actual or perceived situation in which the person believes there is just cause for protest or disagreement. A grievance may be any disagreement or complaint a youth, family member, or resource provider has with an employee or a contractor of the Children’s Division. A grievance may be related to a variety of service provision issues. A few examples are, but not limited to: Youth does not agree with placement recommendation made by worker and the Family Support Team. Parent does not feel they are receiving services as provided for in the case plan. Incarcerated parent is not satisfied with arrangements for visitation with child. Family dissatisfied that visits and/or meetings are cancelled without appropriate notice. Parents believe non-court ordered visitation with children should be extended. Person disagrees with a Family Assessment determination.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-0
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: 1.1.1   Who may File a Grievance",Missouri,Rules,"2023, 2022, 2021, 2020, 2019","Expectations for care, Services while in care - Other",,,"Any adult family member who is currently receiving services or has had services terminated within the past 30 days. Youth 12 years of age or older. Any child younger than 12 years of age with the assistance of a parent, guardian, resource provider, or Guardian ad Litem. Any resource provider, with the exception of resource providers who work with contracted agencies to provide care. These resource providers must utilize the process outlined by the contracted foster care case management agency.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-process
"MO :: Section 8, Chapter 1 (Grievance and Appeals), Subsection 1 – Service Delivery Grievance Process :: Intro",Missouri,Rules,"2023, 2022, 2021, 2020, 2019",Administrative process,,,"The Children’s Division is committed to providing the children and families of Missouri with the best possible services in the most professional manner. The Children’s Division is mandate to provide a fair and impartial grievance processes to address licensure, case management decisions, and delivery of service issues. (See also PA-CR-3: Grievance Procedures ). The Service Delivery Grievance process is the process for families to express concerns of perceived inequities, unfair treatment, or dissatisfaction with agency actions or behaviors, not covered by other grievance procedures.",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-1-grievance-and-appeals-subsection-1-service-delivery-grievance-3
"MO :: Section 6, Chapter 20 (Roles and Responsibilities of Resource Parents) Subsection 3, – (Responsibilities of the Resource Parent) :: 20.3   Responsibilities of the Resource Parents",Missouri,Rules,2023,"Expectations for care, Placement, Safety, Services while in care - Other",,,"Resource Parent Responsibilities Include: To comply with the policies of the child placement agency; To treat children in their care, the child’s birth family and members of the child welfare team in a manner consistent with their ethical responsibilities as professional team members; To participate in out-of-home care provider pre-service training and pertinent in-service training as determined by the Missouri State Foster Care and Adoption Advisory Board; To participate in Division and community resources, Family Support Team meetings, as well as court activities as a team member and colleague who has pertinent information based on day-to-day knowledge of the youth in foster care in their care; To assist with all Family Support Team recommendations and court orders regarding visitation plans; To assist the youth in foster care and the Division in planning and effecting the child’s case plan objective for permanency; To attend, and be heard, at court hearings regarding the youth placed in his/her home; To provide a nurturing family life experience to the youth, including guidance, stimulation, and affection; To teach and direct the behavior of the youth in foster care by administering discipline in a humane and sensitive manner that is consistent with state laws and regulations and Children’s Division policy and shall not include any form of corporal punishment; To not allow a child to discipline another child in the foster home; To not deprive a child of mail or family visits as a form of discipline; To provide food, clothing (appropriate for the season, youth’s age and current styles), shelter, and personal care; To provide care that is respectful and supportive of the youth’s cultural identity and needs and individuality; To provide for the moral training of foster children in care and make available for religious education and attendance of services compatible with the child’s religious heritage, provided that this training would not be injurious to the foster child’s physical, mental, or emotional health; To maintain a school file for the foster youth which is to follow the child in the event of removal from the home; To share necessary information with school personnel in order to secure a safe and appropriate education for the youth in foster care, and to encourage the expression of the youth’s strengths and special talents; To “act as the parent” in public school planning and placement if the student has disabilities. Part of that responsibility is to give consent and written permission at the time of initial evaluation and/or placement for special education and related services and at the time of reevaluation when additional assessments are required This applies only to resource parents. The Department of Elementary and Secondary Education will assign a “surrogate parent” for youth in residential facilities); The resource family, the Guardian ad Litem, or the volunteer advocate whenever possible, may request that the youth be permitted to continue to attend the same school that the child was enrolled in and attending at the time the child was taken into custody by the Division, per Section 211.032.7(2), RSMo, and 167.022; To provide the following educational assistance, which includes, but is not limited to the following: Assist with homework as needed; Attend parent/teacher conferences; Pick up report cards; Encourage participation in extracurricular activities; and Inform the Family Support Team (FST) members of the youth’s educational performance. To share information necessary for the medical, psychiatric, or educational needs of the youth with appropriate practitioners, the Children’s Service Worker, and other members of the child welfare team; To cooperate with the Division in arranging for routine medical, vision, dental, and mental healthcare as well as ensuring that the youth receives appropriate care during any illness; To use medical service providers enrolled with MO HealthNet or a Mo HealthNet Managed Care plan; To maintain a record of the youth’s immunization records, physical, developmental, and mental health care which is to follow the child in the event of removal from the foster home; To request a Medical Services Authorization Information letter, CD-27, when it is necessary to travel out-of-state with foster youth; To submit immediately to the foster youth’s case manager any invoice or out-of-pocket paid receipt received for medical services provided to a foster youth; To understand resource parents do not have the authority to sign or enter into contracts/agreements on behalf of the State of Missouri, the Department of Social Services or the Children’s Division. Resource parents who do sign contracts/agreements will be personally responsible for the cost, terms and conditions of the contract; To keep a life book for the youth to record developmental progress as well as regular and special events in the child’s life while placed in their home; To maintain absolute confidentiality of private information about the youth in foster care and his birth family; To be flexible and cooperative with regard to family visitation, including family contacts and communication through phone calls and letters as appropriate; To assist with supervision of visits, but not be required to supervise visits; To share information learned about the youth and the youth’s family, and concerns that arise in the care of the youth, with the Children’s Service Worker and other members involved with the family; To give two weeks advance notice to the youth’s Children’s Service Worker, except for emergencies, when requesting removal of a youth from the home; To inform the Children’s Service Worker within 60 days of the caseworker’s initial query of their desire to adopt a youth when the youth is free for adoption. If choosing not to adopt, the resource parent shall support and encourage the youth’s placement in a permanent home by providing history on the youth and accommodating transitional visitation; To notify the Division within two weeks of any pertinent conditions, problems or major family changes; To provide the youth with opportunity for recreational activities and for participation in family, school, and community activities; To provide information to the worker and maintain a record of observed behaviors that will be useful in case planning and to participate in staffings; To follow all procedures established by the Children’s Division and its contractors for requesting and using respite care; To validate the youth’s feelings regarding their birth parent; To assist in preparing the youth for any move that must be made; Not use a foster youth for soliciting funds or in any other manner exploited by the foster family; To provide work and chore experience for foster youth that is appropriate to the age, health, and abilities of each individual child. Chores and work shall not interfere with the foster youth’s time for school, study periods, play, sleep, normal community contacts, or visits with his/her family; To differentiate between chores which foster youth are expected to perform as their share in family living and specific work assignments or opportunities as a means of earning money either in or outside the foster family; To not require or permit work which requires the foster youth to operate dangerous or hazardous equipment or machinery unless adequate safety equipment and proper adult supervision are provided; To provide and ensure safe and adequate supervision at all times appropriate to the foster youth’s age and individual needs; To not require foster youth to perform chores or work which is different in amount and type from the community standard for other children; To make every reasonable effort to provide opportunities for experience in earning, spending, and saving money based on age and individual requirements of each foster youth; To not require an employed foster youth to pay room and board; To permit foster youth to drive only after confirming insurance coverage and a proper operator’s license; To only allow a foster youth to own or operate firearms or motor vehicles with written authorization from the legal custodian and proper training; To have no surveillance cameras in areas of the home that violate the privacy of the foster youth, e.g. bathrooms and dressing areas; To not allow the foster youth to use the foster parent(s) surname unless the child’s parent(s) and legal guardian give their consent in writing. Chapter Memoranda History: (prior to 01-31-07) CD06-16 , CD06-58 , CD06-69 Memoranda History: CD07-52 , CD10-41 , CD10-70 , CD14-70 , CD16-45 , CD18-38",https://fostercaresystems.wustl.edu/foster/mo-section-6-chapter-20-roles-and-responsibilities-resource-parents-subsection-3
"MO :: Section 6, Chapter 20 (Roles and Responsibilities of Resource Parents) Subsection 2, – (Rights of the Resource Parent) :: 20.2   Rights of the Resource Parent",Missouri,Rules,2023,"Expectations for care, Permanency, Placement, Reporting requirements, Social worker licensing/qualifications, Visitation",,,"Resource Parents Have the Right: To be treated as colleagues in the child welfare team and in a manner consistent with the National Association of Social Workers’ ethical standards of conduct as described in its Social Worker’s Ethical Responsibilities to Colleagues. To receive written notification of the Foster Parent Bill of Rights at the time of initial licensure and at the time of each licensure renewal following the initial period. To have full access to the child’s medical, psychological, and psychiatric records in its possession, including reports prior to the child coming into care. To have continued full access to all records that come into the possession of the division or of which the division becomes aware. The access shall include providing information and authorization for relative provider to review or to obtain the records directly from the medical, psychological, or psychiatric services provider. The Resource Parent may decline access to any or all of the child’s records. To have regularly scheduled opportunities for pre-service training and regularly scheduled opportunities for pertinent in-service training, as determined by the Missouri State Foster Care and Adoption Advisory Board. To be provided training that specifically addresses the cultural needs of children; including but not limited to, information on skin and hair care, specific religious or cultural practices of the child’s biological family, and referrals to community resources for ongoing education and support. To be provided prior to placement, all pertinent information, including but not limited to full disclosure of all medical, psychological, and psychiatric conditions of the child, as well as information from previous placements that would indicate the child(ren) may have a propensity to cause violence to any member of the foster family home. To be provided with any information regarding the child or the child’s family, including but not limited to the case plan, any history of mental or physical illness, sexual abuse of the child or sexual abuse perpetrated by the child, criminal background of the child or child’s family, fire setting or other destructive behavior by the child, substance abuse by the child or child’s family, or any other information which is pertinent to the care and needs of the child and to protect the foster or adoptive family. To have arranged pre-placement visits, except in emergencies. To ask questions about the child’s case plan, encourage or refuse a placement without reprisal from the caseworker or agency, and to be updated with new information about the child as it is gathered. To be informed in a timely manner about all team meetings and staffings concerning their licensure status or children placed in their home and shall be allowed to participate, consistent with RSMo 210.761; To have access to respite care for children in foster care for short periods of time, jointly determined by the foster parent and the child’s case worker. To have a clear understanding of their role as well as the role of other team members in achieving case goals; To be provided appropriate reimbursement or other financial benefits for services provided foster youth in their care; To share information necessary for the medical or psychiatric care of the child to the appropriate practitioners, and to school personnel in order to secure a safe and appropriate education for the child. To continue the practice of their own family values, routines and family privacy while respecting the child’s cultural heritage. To have visitations scheduled at a time that meets the needs of the child, the biological family and the foster family whenever possible. To request the removal of a foster child from their home, with two weeks notice, except in emergency situations. To be given first consideration as a former foster parent for placement of a child when the child reenters the foster care system and is not placed in a relative home, or, if the child becomes free for adoption, be given preferential consideration as adoptive parents. To be promptly informed by the Division of any complaint against their home or of any condition or problem in their home which adversely affects their “approved” status as resource parent and to receive guidance and support from the Division toward resolution of the condition or problem; To have access to a fair and impartial grievance process to address licensure, case management decisions and delivery of service issues. Foster parents shall have access to the child placement agency’s appeals process, and shall be free from acts of retaliation when exercising the right to appeal. To receive training and to be kept informed by the Division and its contractors on policies and procedures governing the licensure of foster homes, the provisions of foster care, and the adoption process. To be notified by the court no later than two weeks prior to all court hearings. This notification may include, but is not limited to, notice of the day and time of the court hearing, the name of the judge hearing the case, the location of the hearing, and the court docket number. Foster parents shall be permitted to attend and be heard at such hearings. To receive, upon request, information regarding a child’s progress after the child leaves foster care. Chapter Memoranda History: (prior to 01-31-07) CD06-16 , CD06-58 , CD06-69 Memoranda History: CD07-52 ,",https://fostercaresystems.wustl.edu/foster/mo-section-6-chapter-20-roles-and-responsibilities-resource-parents-subsection-2-rights
"MO :: Section 6, Chapter 20 (Roles and Responsibilities of Resource Parents) Subsection 1, – (Rights &amp; Responsibilities of the Resource Parent) :: 20.1     Introduction of the Rights and Responsibilities of the Resource Parent",Missouri,Rules,2023,Expectations for care,,,"As temporary substitute parents, resource parents are closest to the child on a day-to-day basis and are, therefore, a vital member of the Family Support Team. Resource parents are not clients but rather are colleagues in the child welfare team and shall be treated in a manner consistent with the National Association of Social Worker’s ethical standards of conduct as described in its Social Worker’s Ethical Responsibilities to Colleagues. Resource parents are in an excellent position to evaluate the child’s current needs and ensure they are being met in the foster family or through resources in the community. As team members with a unique perspective of the child, resource parents can contribute a special knowledge to the other team members. Resource parents shall share information they may learn about the child and child’s family, concerns that arise in the care of the child with the case worker and other members of the child welfare team. This includes, but is not limited to, information about the child’s behavior, relationship with playmates and other members of the resource provider family, and adjustment to school and to the neighborhood. By their observations of the child’s relationship with his/her birth parent(s) and the child’s reactions to visitation, resource parents can enhance work with the birth parent(s). In some instances, resource parents may also serve as actual role models for the birth parent(s). Missouri Revised Statutes Section 210.566 Foster Parent Bill of Rights and Responsibilities. Chapter Memoranda History: (prior to 01-31-07) CD06-16 , CD06-58 , CD06-69 Memoranda History: CD07-52 ,",https://fostercaresystems.wustl.edu/mo-section-6-chapter-20-roles-and-responsibilities-resource-parents-subsection-1-rights
"MO :: Section 6, Chapter 19 (Background Checks), Subsection 5, – (Sexual Offender Registry By Applicant Address) :: 6.19.5 Sexual Offender Registry by Applicant Address",Missouri,Rules,2023,Safety,,,"The address of residence of the resource home will be entered at the Missouri State Highway Patrol’s sexual offender list located on the Internet at: https://www.mshp.dps.missouri.gov/CJ38/searchRegistry.jsp The search will determine if a sexual offender is registered as residing at the address of the resource home. Print the copy of the results which includes the address of the applicant and place in the resource file with the date that the results were printed included on the page. Chapter Memoranda History (prior to 01/31/07) : CD04-05 , CD04-63 Memoranda History (After 01/31/07) : CD08-55 , CD18-27",https://fostercaresystems.wustl.edu/mo-section-6-chapter-19-background-checks-subsection-5-sexual-offender-registry-applicant-address
"MO :: Section 6, Chapter 19 (Background Checks), Subsection 4, – (Child Abuse and Neglect Registry in Missouri) :: 6.19.4.2 Child Abuse and Neglect Registry Out-Of-State",Missouri,Rules,2023,Investigations,,,"The resource worker will conduct child abuse and neglect background checks in every state where each household member 17 years of age and older has resided for the past five (5) years, per Adam Walsh Protection and Safety Act. The search can be conducted by going to the web site, Adam Walsh State Contacts and Procedures for Child Abuse Registry Checks . This web site is maintained by the California Department of Social Services and lists the contacts for every state to request Child Abuse and Neglect background checks. The list includes contact names, addresses, phone numbers, and email addresses. It also includes specific forms if required and if the state requires a fee. Information regarding states that charge a fee is located in memo CD08-102 .Department Vendor Numbers for those states that charge a fee are listed on the Other State Child Abuse Registry (OSCAR) list located in the Resource Development section of the Children’s Division Intranet homepage. Chapter Memoranda History (prior to 01/31/07) : CD04-05 , CD04-63 , CD04-79 , Memoranda History (After 01/31/07) : CD07-36 , CD07-44 , CD08-55 , CD14-9 , CD14-64 , CD18-27",https://fostercaresystems.wustl.edu/mo-section-6-chapter-19-background-checks-subsection-4-child-abuse-and-neglect-registry-missouri-0
"MO :: Section 6, Chapter 19 (Background Checks), Subsection 4, – (Child Abuse and Neglect Registry in Missouri) :: 6.19.4.1 Child Abuse and Neglect Registry In Missouri",Missouri,Rules,2023,Investigations,,,"One of the checks that is provided by the Family Care Safety Registry is checking the Children’s Division Child Abuse and Neglect Registry. However, an initial check by the worker should be done while waiting for the FCSR results. Chapter Memoranda History (prior to 01/31/07) : CD04-05 , CD04-63 , CD04-79 , Memoranda History (After 01/31/07) : CD07-36 , CD07-44 , CD08-55 , CD14-9 , CD14-64 , CD18-27",https://fostercaresystems.wustl.edu/foster/mo-section-6-chapter-19-background-checks-subsection-4-child-abuse-and-neglect-registry
"MO :: Section 6, Chapter 19 (Background Checks), Subsection 3, – (Case.Net) :: 6.19.3 Case.Net",Missouri,Rules,2023,Legal process,,,"Examine Case.net , the Missouri State Courts Automated Case Management System, for any reference to Orders of Protection filed, either for a child or adult. There are limits to the use of Case.net. Also, at this time public view does not include identifiers such as social security and birth dates; so, it is difficult to determine whether the individual you are searching is the same as one found in Case.net. If an applicant is found to be on Case.net, print the page with the information. If the date that the page is printed is not included on the print result, write the date on the printed copy to verify when the check was made. The date is what is entered in FACES that the Case.net search was made. Chapter Memoranda History (prior to 01/31/07) : CD04-05 , CD04-63 , Memoranda History (After 01/31/07) : CD14-64 , CD18-27",https://fostercaresystems.wustl.edu/mo-section-6-chapter-19-background-checks-subsection-3-casenet-6193-casenet
